//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 6-4-2026
//--  Time: 17:32
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -20(C), 	Resistance 1: 15000 Ohms 
//--    Temperature2: 20(C), 	Resistance 2: 2450 Ohms 
//--    Temperature3: 80(C), 	Resistance 3: 318 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	70.00	700 	0.000
1	271.19	2712 	0.156
2	216.66	2167 	0.313
3	187.13	1871 	0.469
4	166.86	1669 	0.625
5	151.36	1514 	0.781
6	138.73	1387 	0.938
7	127.99	1280 	1.094
8	118.58	1186 	1.250
9	110.15	1101 	1.406
10	102.44	1024 	1.563
11	95.30	953 	1.719
12	88.59	886 	1.875
13	82.22	822 	2.031
14	76.10	761 	2.188
15	70.18	702 	2.344
16	64.39	644 	2.500
17	58.69	587 	2.656
18	53.02	530 	2.813
19	47.34	473 	2.969
20	41.59	416 	3.125
21	35.71	357 	3.281
22	29.64	296 	3.438
23	23.29	233 	3.594
24	16.55	166 	3.750
25	9.28	93 	3.906
26	1.22	12 	4.063
27	-7.97	-80 	4.219
28	-18.99	-190 	4.375
29	-33.29	-333 	4.531
30	70.00	700 	4.688
31	70.00	700 	4.844
